134.689, 24.7182, -166.195, 
134.668, 24.543, -167.221, 
135.286, 24.1143, -167.037, 
134.472, 24.616, -169.435, 
134.64, 24.5806, -169.395, 
133.273, 23.9836, -172.288, 
131.947, 24.0037, -172.564, 
0, -0, 0, 
0, -0, 0, 
130.173, 23.402, -175.883, 
129.983, 23.6333, -176.261, 
129.002, 22.8021, -177.439, 
129.035, 22.7819, -177.489, 
127.663, 22.5646, -178.86, 
127.477, 21.9638, 179.979, 
127.547, 21.9619, 179.966, 
126.428, 23.7191, 179.368, 
125.717, 22.815, 177.777, 
125.7, 22.8017, 177.701, 
125.869, 23.6064, 176.495, 
125.383, 22.6516, 176.064, 
125.38, 22.6318, 176.026, 
124.341, 23.6712, 175.33, 
123.885, 23.1614, 174.33, 
123.844, 23.1377, 174.255, 
123.35, 22.1608, 173.19, 
123.338, 22.1674, 173.229, 
123.32, 22.0118, 172.292, 
123.24, 21.9874, 172.193, 
123.238, 21.986, 172.195, 
122.398, 21.1723, 171.861, 
122.372, 21.1822, 171.832, 
121.924, 20.4334, 171.01, 
121.468, 20.6948, 170.442, 
120.349, 21.0336, 169.722, 
120.092, 20.0635, 169.379, 
118.93, 20.208, 168.92, 
118.94, 20.2189, 168.918, 
118.939, 20.2172, 168.922, 
118.652, 20.0104, 168.663, 
117.638, 19.8348, 168.306, 
117.521, 19.8185, 168.242, 
117.52, 19.8169, 168.244, 
117.52, 19.8152, 168.247, 
117.52, 19.8145, 168.249, 
116.199, 20.008, 167.968, 
116.131, 20.0104, 167.939, 
115.748, 19.9788, 168.429, 
114.657, 22.5672, 166.138, 
114.326, 20.17, 168.604, 
114.62, 20.7761, 168.746, 
114.152, 20.0111, 169.426, 
114.637, 21.3298, 170.328, 
113.936, 21.6119, 170.727, 
113.911, 21.6444, 170.76, 
113.912, 21.6433, 170.76, 
113.913, 21.6414, 170.759, 
113.139, 22.7866, 171.251, 
0, -0, 0, 
113.349, 23.9739, 172.218, 
113.695, 22.9199, 173.535, 
112.822, 24.3045, 174.084, 
112.898, 24.3355, 174.152, 
112.67, 24.9536, 175.075, 
112.435, 25.9129, 174.803, 
112.015, 25.8708, 175.746, 
112.983, 27.0724, 176.447, 
113.301, 27.7907, 177.302, 
113.618, 29.0987, 177.874, 
113.657, 28.6951, 178.43, 
113.125, 30.1932, 178.75, 
113.424, 30.7275, 179.92, 
112.655, 31.6211, 179.699, 
112.1, 31.7889, -179.752, 
112.697, 32.125, -179.299, 
112.836, 33.4228, -178.39, 
113.591, 33.0335, -177.14, 
114.171, 34.5831, -176.196, 
114.58, 34.6511, -174.955, 
115.123, 34.8466, -174.303, 
114.909, 36.4522, -174.134, 
114.935, 36.4436, -174.141, 
114.804, 37.2221, -172.923, 
114.803, 37.2241, -172.919, 
116.166, 38.5675, -171.128, 
116.124, 39.1653, -170.002, 
116.475, 39.0288, -169.73, 
117.289, 39.9712, -168.539, 
117.992, 38.6683, -167.307, 
119.122, 40.4992, -166.507, 
0, -0, 0, 
119.979, 38.2759, -165.441, 
121.235, 39.3668, -164.828, 
121.438, 39.2558, -164.01, 
122.79, 38.7712, -163.294, 
122.94, 40.0168, -162.625, 
123.522, 39.0743, -162.498, 
123.926, 40.29, -161.563, 
125.319, 39.4928, -160.678, 
126.63, 38.1973, -160.662, 
128.617, 36.9742, -159.962, 
129.051, 36.7733, -160.071, 
131.256, 35.3021, -158.896, 
131.244, 35.3006, -158.906, 
131.247, 35.3036, -158.909, 
133.222, 34.0269, -158.494, 
134.7, 32.2856, -157.986, 
135.051, 31.9983, -157.784, 
137.96, 31.156, -157.83, 
138.923, 29.9849, -157.856, 
138.321, 30.0307, -157.587, 
140.783, 28.6402, -157.142, 
141.064, 28.4136, -156.975, 
139.793, 29.1126, -157.758, 
140.451, 28.2224, -157.583, 
139.917, 29.6544, -156.7, 
140.577, 28.6229, -156.94, 
140.884, 28.3759, -156.789, 
140.891, 28.3751, -156.788, 
140.893, 28.3767, -156.789, 
140.894, 28.3783, -156.791, 
141.855, 27.2213, -157.725, 
143.518, 26.2766, -157.057, 
142.486, 25.126, -156.574, 
142.855, 25.2593, -157.108, 
142.851, 25.7029, -158.081, 
142.859, 25.7026, -158.068, 
142.861, 25.7036, -158.07, 
144.348, 24.1543, -157.667, 
145.319, 24.0734, -158.658, 
0, -0, 0, 
146.706, 23.4236, -158.576, 
146.704, 23.4234, -158.579, 
147.567, 22.6874, -158.444, 
148.338, 21.9461, -158.403, 
149.074, 20.8738, -157.328, 
