-11.1,19.5,12.1,86.9,7.6,45,-7.1
-7.9,32.4,11.7,83.7,4.4,35.1,-4.9
-2.1,56,8.5,69.6,1.8,38.8,-2.8
1.7,80.9,7.6,47.6,1.1,35.6,-2.3
