50.532,-9.751,14.313,29.3,59.97,318.203
50.533,-9.745,14.301,29.055,60.206,318.039
50.541,-9.732,14.279,29.055,60.231,318.214
50.538,-9.723,14.281,29.07,60.172,318.05
50.537,-9.726,14.277,29.002,60.196,317.907
50.537,-9.752,14.232,29.127,60.228,318.389
50.538,-9.763,14.204,28.878,60.64,317.979
50.542,-9.778,14.185,28.724,60.632,317.936
50.538,-9.785,14.175,28.823,60.58,317.742
50.536,-9.783,14.17,28.911,60.648,317.668
50.533,-9.795,14.159,28.96,60.489,317.779
50.54,-9.761,14.175,29.141,60.328,317.446
50.541,-9.768,14.17,29.122,60.206,317.642
50.549,-9.739,14.135,29.115,60.271,317.65
50.553,-9.729,14.134,29.077,60.311,317.52
50.547,-9.746,14.111,29.108,60.403,317.789
50.534,-9.798,14.099,28.812,60.689,317.808
50.523,-9.811,14.075,28.835,60.853,317.652
50.535,-9.81,14.063,28.731,60.981,317.692
50.501,-9.888,14.048,28.872,60.903,317.706
50.505,-9.924,14.021,28.888,61.064,317.406
50.52,-10.001,13.955,28.558,61.322,317.963
50.527,-10.022,13.848,28.314,61.932,317.871
50.542,-10.02,13.787,28.37,61.819,317.793
50.495,-10.045,13.764,27.969,62.138,317.491
50.483,-10.052,13.755,27.736,62.381,317.082
50.481,-10.045,13.754,27.719,62.326,317.098
50.474,-10.055,13.728,27.838,62.421,316.895
50.507,-10.075,13.598,27.136,63.076,317.253
50.528,-10.054,13.527,27.6,62.669,317.213
50.529,-10.023,13.527,27.611,62.549,317.079
50.546,-10.015,13.531,27.832,62.44,316.921
50.556,-10.035,13.509,27.772,62.535,317.225
50.557,-10.066,13.486,27.599,62.747,317.077
50.568,-10.058,13.493,27.672,62.769,317.299
50.57,-10.049,13.528,28.018,62.291,317.021
50.566,-10.064,13.495,27.73,62.73,317.25
50.561,-10.066,13.522,27.794,62.779,316.986
50.551,-10.07,13.56,27.225,63.184,317.002
50.56,-10.059,13.58,27.154,63.272,317.027
50.566,-10.058,13.583,27.077,63.294,317.063
50.566,-10.062,13.626,27.572,62.769,317.207
50.588,-10.002,13.691,28.336,61.885,317.182
50.593,-9.99,13.725,27.898,62.165,316.881
50.594,-9.994,13.806,28.351,61.769,317.374
50.596,-9.967,13.883,28.341,61.689,317.016
50.577,-9.94,13.965,28.611,61.463,316.978
50.56,-9.902,14.072,28.797,61.141,317.222
50.534,-9.872,14.232,28.883,61.019,317.234
50.53,-9.853,14.373,29.23,60.483,317.337
50.518,-9.859,14.466,29.536,60.159,317.278
50.538,-9.846,14.551,29.872,59.669,317.572
50.533,-9.839,14.668,29.4,60.173,317.662
50.533,-9.816,14.878,30.133,59.192,317.633
50.52,-9.809,15.075,30.676,58.605,318.04
50.535,-9.833,15.201,30.755,58.497,318.005
50.587,-9.836,15.343,29.972,59.374,318.959
50.647,-9.747,15.49,31.147,57.432,318.225
50.66,-9.711,15.6,31.185,57.383,317.969
50.701,-9.706,15.63,31.466,57.049,317.809
50.746,-9.709,15.631,31.07,57.325,317.608
50.759,-9.706,15.672,31.644,56.809,317.823
50.781,-9.71,15.715,31.535,57.073,318.004
50.78,-9.724,15.802,31.624,56.854,317.446
50.757,-9.764,15.896,31.785,56.703,317.853
50.734,-9.784,16.056,31.614,56.812,317.645
50.717,-9.788,16.198,31.76,56.681,317.964
50.72,-9.799,16.341,31.571,56.964,318.568
50.723,-9.78,16.373,32.32,56.115,318.011
50.729,-9.796,16.428,31.478,56.986,317.754
50.716,-9.806,16.558,31.892,56.756,318.774
50.703,-9.776,16.625,32.072,56.24,317.818
50.714,-9.762,16.727,32.435,55.972,318.035
50.709,-9.791,16.831,32.459,55.874,317.942
50.677,-9.851,16.927,32.839,55.559,317.872
50.656,-9.901,17.003,32.282,56.287,318.074
50.646,-9.912,17.169,32.557,55.863,317.715
50.634,-9.923,17.304,32.733,55.687,318.203
50.613,-9.956,17.468,32.759,55.631,318.072
50.581,-10.007,17.675,32.904,55.513,318.555
50.545,-10.044,17.862,33.165,55.269,318.474
50.527,-10.099,17.997,32.833,55.681,318.834
50.503,-10.175,18.199,33.026,55.491,318.842
50.504,-10.19,18.388,33.007,55.494,319.026
50.505,-10.204,18.6,33.077,55.37,319.052
50.486,-10.242,18.823,33.293,55.095,319.185
50.479,-10.219,19.066,33.212,55.068,319.064
50.429,-10.201,19.324,33.193,55.094,319.034
50.427,-10.169,19.586,33.505,54.713,319.423
50.398,-10.1,19.864,33.335,54.572,319.026
50.344,-10.043,20.218,33.314,54.406,319.089
50.283,-10,20.588,33.4,54.001,319.465
50.229,-9.941,20.911,33.777,53.465,319.474
50.155,-9.883,21.285,33.695,53.319,319.556
50.072,-9.77,21.676,34.626,52.466,319.972
50.067,-9.642,21.975,35.57,51.392,320.058
50.095,-9.55,22.173,35.562,51.315,320.07
50.124,-9.486,22.396,35.685,51.03,319.945
50.14,-9.419,22.652,36.046,50.573,319.874
50.138,-9.401,22.875,36.275,50.232,319.889
50.144,-9.327,23.102,36.056,50.278,320.139
50.098,-9.219,23.423,36.456,49.76,319.72
50.047,-9.07,23.751,36.812,49.203,319.759
49.966,-8.977,24.071,37.064,48.71,320.109
49.875,-8.904,24.318,37.324,48.471,320.414
49.768,-8.8,24.579,37.768,48.118,320.046
49.679,-8.658,24.897,37.791,48.004,319.81
49.609,-8.536,25.218,38.038,47.615,320.477
49.584,-8.5,25.513,37.064,48.611,321.679
49.515,-8.428,25.808,38.011,47.446,320.726
49.445,-8.361,26.135,38.068,47.43,320.237
49.37,-8.301,26.52,37.836,47.415,320.437
